Reading Quadcopter data

Motor Difference,Angle Y, Time Difference
0,3,-15632
0,3,3836
0,3,3844
0,3,3852
0,3,3916
0,3,3944
0,3,3864
0,3,3852
0,3,3848
0,3,3888
0,3,3924
0,3,3844
0,3,3840
0,3,3856
0,3,3900
0,3,3916
0,3,3860
0,3,3880
0,3,3756
0,3,3956
0,3,3912
0,3,3880
0,3,3872
0,3,3872
0,3,3964
0,3,3920
0,3,3876
0,3,3880
0,3,3740
0,3,3944
0,3,3888
0,3,3868
0,3,3872
0,3,3876
0,3,3992
0,3,3904
0,3,3888
0,3,3888
0,3,3896
0,3,3976
0,3,3900
0,3,3880
0,3,3880
0,3,3908
0,3,3980
0,3,3880
0,3,3872
0,3,3876
0,3,3776
0,3,3988
0,3,3884
0,3,3864
0,3,3864
0,3,3880
0,3,3968
0,3,3856
0,3,3856
0,3,3852
0,3,3876
0,3,3940
0,3,3728
0,3,3848
0,3,3852
0,3,3904
0,3,3936
0,3,3860
0,3,3852
0,3,3856
0,3,3896
0,3,3936
0,3,3852
0,3,3840
0,3,3848
0,3,3904
0,3,3936
0,3,3840
0,3,3852
0,3,3852
0,3,3896
0,3,3936
0,3,3856
0,3,3848
0,3,3856
0,3,3908
0,3,3936
0,3,3872
0,3,3728
0,3,3724
0,3,3932
0,3,3896
0,3,3848
0,2,3860
0,2,3864
0,2,3932
0,2,3908
0,2,3860
0,2,3852
0,2,3864
0,2,3944
0,2,3932
0,2,3868
0,2,3848
0,2,3864
0,2,3948
0,2,3884
0,2,3856
0,2,3880
0,2,3864
0,2,3984
0,1,3892
0,1,3860
0,1,3876
0,1,3860
0,1,3964
0,1,3884
0,1,3856
0,1,3860
0,1,3860
0,1,3952
0,1,3880
0,1,3720
0,1,3736
0,1,3880
0,0,3984
0,0,3860
0,0,3872
0,0,3864
0,0,3892
0,0,3996
0,0,3872
0,0,3840
0,0,3728
0,0,3748
0,0,3968
0,0,3856
0,0,3864
0,0,3876
0,0,3896
0,0,3944
0,0,3860
0,0,3860
0,0,3856
0,0,3908
0,0,3808
0,0,3864
0,0,3872
0,0,3872
0,0,3920
0,0,3964
0,0,3884
0,0,3884
0,0,3872
0,0,3952
0,0,3968
0,-1,3872
0,-1,3876
0,-1,3880
0,-1,3948
0,-1,3932
0,-1,3872
0,-1,3876
0,-1,3876
0,-1,3960
0,-1,3916
0,-1,3872
0,-1,3860
0,-1,3868
0,-1,3940
0,-1,3920
0,-1,3860
0,-1,3864
0,-1,3860
0,-1,3944
0,-1,3756
0,-1,3740
0,-1,3880
0,-1,3872
0,-1,3976
0,-1,3888
0,-1,3868
0,-1,3856
0,-1,3872
0,-1,3956
0,-1,3760
0,-1,3856
0,-1,3864
0,-1,3880
0,-1,3964
0,-1,3876
0,-1,3876
0,-1,3864
0,-1,3872
0,-1,3960
0,-1,3744
0,-1,3748
0,-1,3884
0,-1,3888
0,-1,3988
0,-1,3880
0,-1,3884
0,-1,3868
0,-1,3888
0,-1,3964
0,-2,3748
0,-2,3748
0,-2,3876
0,-2,3936
0,-2,3956
0,-2,3868
0,-2,3876
0,-2,3872
0,-2,3908
0,-2,3956
0,-2,3852
0,-2,3740
0,-2,3868
0,-2,3908
0,-2,3948
0,-2,3880
0,-2,3880
0,-2,3876
0,-2,3948
0,-2,3908
0,-2,3896
0,-2,3760
0,-2,3884
0,-2,3964
0,-2,3932
0,-2,3892
0,-2,3884
0,-2,3888
0,-3,3964
0,-3,3900
0,-3,3744
0,-3,3868
0,-3,3872
0,-3,4000
0,-3,3904
0,-3,3880
0,-3,3880
0,-3,3888
0,-3,4000
0,-3,3792
0,-3,3892
0,-3,3904
0,-3,3908
0,-3,3988
0,-3,3900
0,-3,3892
-2,-4,3880
-2,-4,3888
-2,-4,4120
-2,-4,3892
-2,-4,3884
-2,-4,3888
-2,-4,3920
-2,-4,3972
-2,-4,3892
-2,-4,3884
-2,-4,3884
-2,-4,3800
-2,-4,3964
-2,-4,3880
-2,-4,3868
-2,-4,3880
-2,-4,3924
-2,-4,3944
-2,-4,3872
-2,-4,3736
-2,-4,3748
-2,-4,3948
-2,-4,3936
-2,-4,3892
-2,-4,3892
-2,-4,3884
-2,-4,3956
-2,-4,3928
-2,-4,3748
-2,-4,3876
-2,-4,3872
-2,-4,3956
-2,-4,3920
-2,-4,3876
-2,-4,3876
-2,-4,3876
-2,-4,3968
-2,-4,3900
-2,-4,3736
-2,-4,3740
-2,-4,3868
-2,-4,3980
-2,-4,3896
-2,-4,3868
-2,-4,3876
-2,-4,3868
0,-3,3964
0,-3,3900
0,-3,3880
0,-3,3760
0,-3,3900
0,-3,4004
0,-3,3880
0,-3,3880
0,-3,3880
0,-3,3896
0,-3,3996
0,-3,3876
0,-3,3732
0,-3,3732
0,-3,3884
0,-3,3968
0,-2,3864
